"Time","Temp","Chance of Rain","Cloud Cover","Wind","Dew Point","Humidity"
"6pm","12","5","13","SW 21km/h","4","56"
"9pm","10","5","13","WSW 17km/h","3","64"
"12am","8","5","29","W 17km/h","3","69"
"3am","6","5","13","W 16km/h","2","73"
"6am","4","5","6","W 15km/h","1","79"
"9am","7","5","9","WNW 16km/h","3","73"
"12pm","15","5","6","WNW 10km/h","4","49"
"3pm","17","5","32","NNE 10km/h","5","45"
"6pm","13","5","68","NE 11km/h","6","61"
"9pm","12","5","55","NNE 15km/h","6","68"
"12am","10","5","67","N 15km/h","6","73"
"3am","9","6","82","NNW 14km/h","5","75"
"6am","8","41","50","NNW 17km/h","4","76"
"9am","10","5","71","N 19km/h","6","78"
"12pm","15","8","62","N 17km/h","9","65"
"3pm","17","28","81","N 14km/h","9","60"
